EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS ALUMINUM                                                           
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = ( 13, 27);   avgA =  27.000; amuM= 26.978; avgM= 25.130
 targ= ordina; ttarg(rl)=0.01315; twall=0.00129; tbeam=0.00264; tspec=0.00000
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.540  7.083  1.20    1.35    1.09    1.11    0.00    2.19  0.866
   7.488  0.210  5.40    1.79    0.09    1.45    0.00    1.54 9.257E+03

  10.540  7.357  1.27    1.29    1.49    1.04    0.00    2.54  0.864
   7.321  0.210  5.65    1.71    0.62    1.37    0.00    1.99 7.608E+03

  10.540  7.649  1.34    1.24    1.92    0.99    0.00    2.91  0.862
   7.144  0.210  5.91    1.64    1.18    1.30    0.00    2.49 6.231E+03

  10.540  7.961  1.41    1.20    2.37    0.95    0.00    3.32  0.858
   6.958  0.210  6.19    1.59    1.77    1.24    0.00    3.02 5.084E+03

  10.540  8.294  1.49    1.17    2.85    0.91    0.00    3.76  0.854
   6.762  0.210  6.48    1.55    2.41    1.20    0.00    3.61 4.131E+03

  10.540  8.652  1.57    1.16    3.38    0.88    0.00    4.26  0.850
   6.554  0.210  6.79    1.52    3.11    1.16    0.00    4.27 3.341E+03

  10.540  9.039  1.66    1.15    3.95    0.86    0.00    4.81  0.846
   6.336  0.210  7.11    1.52    3.85    1.13    0.00    4.98 2.687E+03

  10.540  9.457  1.75    1.16    4.57    0.84    0.00    5.42  0.841
   6.105  0.210  7.45    1.53    4.66    1.12    0.00    5.79 2.149E+03

  10.540  9.913  1.84    1.19    5.24    0.84    0.00    6.09  0.836
   5.862  0.210  7.81    1.56    5.55    1.12    0.00    6.67 1.708E+03

  10.540 10.412  1.95    1.23    5.97    0.86    0.00    6.83  0.831
   5.606  0.210  8.19    1.61    6.51    1.14    0.00    7.65 1.348E+03

  10.540 10.963  2.05    1.30    6.78    0.88    0.00    7.67  0.827
   5.335  0.210  8.60    1.69    7.58    1.18    0.00    8.76 1.056E+03

  10.540 11.574  2.16    1.39    7.67    0.93    0.00    8.60  0.822
